0.00489627, 0.0058159, 0.734213, 0.005633, 0.0802285, 0.00293473, 0.0735898, 0.00251477, 0.0366528, 0.00824062, 0.000356409, 0.000221787, 0.00149356, 0.000347726, 0.00923088, 0.0152503, 0.0121539, 0.000440369, 0.00535548, 0.000430407	/location 0.978549 /organization 0.874117
0.00709656, 0.0326364, 0.0719663, 0.00327213, 0.035591, 0.178165, 0.00357299, 0.0138185, 0.552923, 0.0268699, 0.0434228, 0.00749083, 0.00764639, 0.00429294, 0.00304276, 0.00244213, 0.00193435, 0.00152297, 0.001241, 0.00105223	/person 0.505634
0.00598305, 0.00524832, 0.00465817, 0.00556437, 0.00995203, 0.0159114, 0.048135, 0.45283, 0.0538198, 0.202199, 0.00454143, 0.122093, 0.000645535, 0.00897083, 0.00162674, 0.0183044, 0.0122461, 0.005974, 0.0204907, 0.000806966	/event/protest 0.95984 /event 0.809822
0.00263606, 0.0021598, 0.00149453, 0.00409331, 0.00188888, 0.27791, 0.00531823, 0.0835536, 0.0127785, 0.017666, 0.00152673, 0.502476, 0.00315465, 0.0364057, 0.0101782, 0.00319737, 0.00510261, 0.0258995, 0.00197445, 0.000585939	/product/ship 0.960023
0.00111527, 0.00185254, 0.0447934, 0.00216093, 0.00611066, 0.0107456, 0.00536661, 0.172687, 0.000779506, 0.141166, 0.054633, 0.0143703, 0.45135, 0.00266461, 0.00730013, 0.00825354, 0.0241053, 0.0314026, 0.00956431, 0.00957869	/product/ship 0.778349
0.0497752, 0.239294, 0.00496106, 0.121448, 0.00322193, 0.126332, 0.00100816, 0.348245, 0.00431918, 0.0311775, 0.0411546, 0.00709954, 0.00724697, 0.00406869, 0.00288382, 0.00231456, 0.00183331, 0.00144342, 0.00117618, 0.000997262	/location/country 0.994475 /location 0.984777 /people/ethnicity 0.753779 /people 0.705774
0.00899552, 0.013231, 0.189796, 0.00369025, 0.56233, 0.0124386, 0.00591314, 0.0250195, 0.10518, 0.0310973, 0.0247966, 0.00427764, 0.00436647, 0.00245149, 0.00173757, 0.00139458, 0.00110461, 0.000869694, 0.000708674, 0.000600874	/location 0.999216 /location/country 0.956509
0.00607114, 0.00386451, 0.014966, 0.0103624, 0.0771877, 0.0260537, 0.0305156, 0.0761236, 0.0173157, 0.0298158, 0.0022587, 0.00110979, 0.324386, 0.00312911, 0.0698297, 0.003388, 0.263307, 0.0304854, 0.00376991, 0.0060604	/person 0.76702 /person/artist 0.747731 /person/musician 0.614307
0.0457371, 0.0159966, 0.449305, 0.00728444, 0.147399, 0.00271146, 0.0937029, 0.00232925, 0.188757, 0.00484521, 0.00622594, 0.00285286, 0.0190931, 0.00334022, 0.00420944, 0.00212445, 0.00135813, 0.00100831, 0.000867206, 0.000851864	/location 0.984206 /location/city 0.976611
0.0157705, 0.0130702, 0.0321842, 0.00878542, 0.0222893, 0.015813, 0.0385656, 0.0185589, 0.560935, 0.211218, 0.0368124, 0.00635047, 0.00648234, 0.0036394, 0.00257955, 0.00207035, 0.00163987, 0.00129112, 0.00105208, 0.000892041	/location 0.879651 /location/city 0.580274
0.000580995, 0.0198123, 0.0325544, 0.00522824, 0.0811129, 0.000956548, 0.0264852, 0.144788, 0.0111877, 0.644438, 0.0192561, 0.00332186, 0.00339084, 0.00190373, 0.00134933, 0.00108298, 0.0008578, 0.000675371, 0.000550329, 0.000466616	/person 0.947378 /person/athlete 0.903361
0.00197538, 0.00163848, 0.00132973, 0.00121028, 0.00115666, 0.00110122, 0.00243624, 0.0138517, 0.0245143, 0.135649, 0.713011, 0.0021809, 0.00123515, 0.0451052, 0.0323821, 0.00678296, 0.00167305, 0.00928508, 0.00249841, 0.00098369	/people 0.520518
0.00508303, 0.0184441, 0.0741365, 0.00349029, 0.0379722, 0.113115, 0.00467303, 0.178256, 0.179, 0.242717, 0.000697554, 0.000730979, 0.0670308, 0.000269169, 0.00440877, 0.00434594, 0.00840365, 0.0518089, 0.00388178, 0.00153445	/location 0.704765
0.000589177, 0.00219774, 0.0019003, 0.123253, 0.0168551, 0.092374, 0.565162, 0.0162982, 0.0535649, 0.0276587, 0.000281168, 0.0289769, 0.000588898, 0.0132792, 0.00623534, 0.000205937, 0.000565782, 0.0438135, 0.00448451, 0.00171656	/person/actor 0.968002 /person 0.938477
0.00338028, 0.17, 0.327312, 0.0073423, 0.0580086, 0.0160872, 0.266, 0.00194876, 0.0358592, 0.0671407, 0.0275005, 0.00474408, 0.0048426, 0.0027188, 0.00192704, 0.00154664, 0.00122506, 0.000964526, 0.000785949, 0.000666395	/organization 0.922233 /military 0.581808
0.00347225, 0.00101782, 0.00226006, 0.0118427, 0.0256456, 0.00301171, 0.00505182, 0.094874, 0.214228, 0.276985, 0.0569572, 0.0622183, 0.0674072, 0.0532421, 0.0459945, 0.0350842, 0.0202219, 0.0104836, 0.00599073, 0.00401136	/person 0.719896 /organization 0.54739
0.00225222, 0.00426311, 0.000449797, 0.0122555, 0.00224628, 0.0174519, 0.0742909, 0.296087, 0.286282, 0.185375, 0.0697727, 0.0120364, 0.0122864, 0.00689799, 0.00488917, 0.00392406, 0.00310815, 0.00244714, 0.00199407, 0.00169074	/government_agency 0.807488 /location 0.524932 /location/country 0.586312 /title 0.566752 /military 0.545187
0.000594472, 0.00325242, 0.00325436, 0.0117611, 0.0708548, 0.00605207, 0.186371, 0.175891, 0.188968, 0.0978319, 0.108278, 0.0439494, 0.00192415, 0.0030993, 0.00426998, 0.0476404, 0.0058588, 0.00244357, 0.00409404, 0.03361	/building/theater 0.611336 /building 0.545334
0.00370776, 0.00391354, 0.0115519, 0.0224212, 0.0429477, 0.0147609, 0.0195177, 0.0202196, 0.246377, 0.498944, 0.000854652, 0.00484109, 0.00011165, 0.0282555, 0.00011487, 0.013194, 0.0669444, 0.0011554, 6.27731e-05, 0.000103955	/organization/educational_institution 0.991694 /location 0.989656 /organization 0.691408
0.00674355, 0.0125228, 0.120279, 0.000391562, 0.0155999, 0.00482516, 0.0138634, 0.0755192, 0.658928, 0.00824892, 0.0486919, 0.00839978, 0.00857422, 0.00481385, 0.00341198, 0.00273846, 0.00216907, 0.00170777, 0.00139159, 0.00117991	/organization/educational_institution 0.909291 /location 0.859032 /organization 0.803847
